decile,mean_pred,obs_rate,n,abs_dev
0,0.09002756420508785,0.06650930297139683,21606,0.023518261233691024
1,0.18181342736818656,0.16747718956972812,21591,0.01433623779845844
2,0.22961723837237027,0.21543661450134272,21598,0.014180623871027559
3,0.27332238896081734,0.260764885637559,21598,0.012557503323258334
4,0.32318781689177417,0.3228853187647576,21599,0.0003024981270165483
5,0.3891712835176734,0.38994351328826743,21598,0.0007722297705940462
6,0.4715900721196357,0.4880081489026762,21598,0.01641807678304047
7,0.5630442917971948,0.6090378738772109,21598,0.04599358208001603
8,0.6725805796419015,0.6877025650523196,21598,0.015121985410418093
9,0.8237441082487039,0.8277235057178574,21599,0.003979397469153434
