cfg,substance,group,train_n,test_n,single,pooled
base,Alcohol,BIG6,1743828,747356,0.7898642821085738,0.7863198338196227
base,Heroin,BIG6,1092259,468111,0.7946723226298944,0.7890752189490624
base,Cannabis,BIG6,588619,252266,0.7635669730305809,0.7537117765485623
base,Methamphetamine,BIG6,543342,232862,0.7839804624560176,0.7746514157842951
base,Other_opioids,BIG6,319643,136990,0.7959887001794022,0.7845360429140584
base,Cocaine,BIG6,263176,112791,0.7808998322984984,0.772782623266876
base,Benzodiazepines,small,53466,22914,0.75475110801191,0.7513074369417159
base,Other_amphetamines,small,27310,11705,0.799380550189813,0.7937380917647352
base,PCP,small,12668,5430,0.780827889201757,0.7734442857513973
base,Non_rx_methadone,small,6906,2961,0.7789451573131193,0.7873654048130052
base,Other_hallucinogens,small,5667,2429,0.7684617549397277,0.7900378858587744
base,Other_sedatives_hypnotics,small,5386,2309,0.7240363394827624,0.7395916552646642
base,Other_stimulants,small,5336,2288,0.7801654271548437,0.7975082634121536
base,Barbiturates,small,3630,1557,0.8543292554313435,0.7897595443999157
base,Inhalants,small,2249,965,0.7329690998656517,0.7677653381101658
base,OTC,small,1824,783,0.7216950959488273,0.7726945628997868
base,Other_tranquilizers,small,435,187,0.7239165329052969,0.8190781930749828
perm1,Alcohol,BIG6,1743828,747356,0.7894958883610144,0.7858442685653226
perm1,Heroin,BIG6,1092259,468111,0.7940912341166273,0.7890938223864309
perm1,Cannabis,BIG6,588619,252266,0.7622099630551205,0.7533650302410164
perm1,Methamphetamine,BIG6,543342,232862,0.7836674843905317,0.7742266999117222
perm1,Other_opioids,BIG6,319643,136990,0.7951135683276934,0.7836079395367028
perm1,Cocaine,BIG6,263176,112791,0.7804484450629285,0.7719488065146856
perm1,Benzodiazepines,small,53466,22914,0.7564324968342517,0.7512735719908279
perm1,Other_amphetamines,small,27310,11705,0.7955672200567618,0.79149894230198
perm1,PCP,small,12668,5430,0.773811016347078,0.773822311225867
perm1,Non_rx_methadone,small,6906,2961,0.7757847390291794,0.7889830585871501
perm1,Other_hallucinogens,small,5667,2429,0.7669287847675939,0.7867414343170364
perm1,Other_sedatives_hypnotics,small,5386,2309,0.7252316366541475,0.7417775492275717
perm1,Other_stimulants,small,5336,2288,0.7868127065853038,0.7974280129672007
perm1,Barbiturates,small,3630,1557,0.8421072675713047,0.7817062738756474
perm1,Inhalants,small,2249,965,0.7492297357814599,0.7699014778325124
perm1,OTC,small,1824,783,0.7145122601279318,0.7721748400852879
perm1,Other_tranquilizers,small,435,187,0.7538408621875716,0.8057784911717495
perm2,Alcohol,BIG6,1743828,747356,0.7891605392725157,0.785389143221027
perm2,Heroin,BIG6,1092259,468111,0.7942133690765328,0.7882879647306035
perm2,Cannabis,BIG6,588619,252266,0.7629406744930207,0.7538030935794351
perm2,Methamphetamine,BIG6,543342,232862,0.7838085250147486,0.7734122768124142
perm2,Other_opioids,BIG6,319643,136990,0.7947752935379091,0.7844635058127618
perm2,Cocaine,BIG6,263176,112791,0.7807642341981124,0.7715762313782517
perm2,Benzodiazepines,small,53466,22914,0.7563606172353605,0.7501429420924741
perm2,Other_amphetamines,small,27310,11705,0.7968911840612538,0.7879091348650611
perm2,PCP,small,12668,5430,0.7732954757233523,0.7729576882545686
perm2,Non_rx_methadone,small,6906,2961,0.7796812639846568,0.7889474405223983
perm2,Other_hallucinogens,small,5667,2429,0.7629301932900029,0.783803477183634
perm2,Other_sedatives_hypnotics,small,5386,2309,0.7224584247789236,0.7399004276133542
perm2,Other_stimulants,small,5336,2288,0.7854627510806,0.7937547673531655
perm2,Barbiturates,small,3630,1557,0.8511038458834282,0.7877645363144204
perm2,Inhalants,small,2249,965,0.7371518137035379,0.7632736229287955
perm2,OTC,small,1824,783,0.7023987206823028,0.774446961620469
perm2,Other_tranquilizers,small,435,187,0.7257509745471222,0.809332721852786
perm3,Alcohol,BIG6,1743828,747356,0.7897687243609961,0.7856352572362149
perm3,Heroin,BIG6,1092259,468111,0.7947854569705664,0.7889779210555793
perm3,Cannabis,BIG6,588619,252266,0.7633895557122758,0.7523293375416991
perm3,Methamphetamine,BIG6,543342,232862,0.7838500490955823,0.7740952563809798
perm3,Other_opioids,BIG6,319643,136990,0.7957816796321836,0.7837369898877917
perm3,Cocaine,BIG6,263176,112791,0.7801183575808867,0.771883030454734
perm3,Benzodiazepines,small,53466,22914,0.7583615241794722,0.753682958862384
perm3,Other_amphetamines,small,27310,11705,0.7959667462904515,0.7888015638264643
perm3,PCP,small,12668,5430,0.7781603917967554,0.775624197357676
perm3,Non_rx_methadone,small,6906,2961,0.7779652038905887,0.789291748481666
perm3,Other_hallucinogens,small,5667,2429,0.770773230720496,0.7859590397158066
perm3,Other_sedatives_hypnotics,small,5386,2309,0.718578682999844,0.7457055008157405
perm3,Other_stimulants,small,5336,2288,0.7822217454869057,0.7952687992626495
perm3,Barbiturates,small,3630,1557,0.8421922238627575,0.7870321544915512
perm3,Inhalants,small,2249,965,0.7390729959695477,0.7751545006717421
perm3,OTC,small,1824,783,0.710787579957356,0.7759861407249466
perm3,Other_tranquilizers,small,435,187,0.7544141252006421,0.8044026599403806
cat,Alcohol,BIG6,1743828,747356,0.7943051546618527,0.7916283899664476
cat,Heroin,BIG6,1092259,468111,0.7971621429995965,0.7926293050224371
cat,Cannabis,BIG6,588619,252266,0.7681797707682386,0.7619993259348923
cat,Methamphetamine,BIG6,543342,232862,0.7876853141700236,0.7804916872830845
cat,Other_opioids,BIG6,319643,136990,0.8006462962631964,0.7912671740348911
cat,Cocaine,BIG6,263176,112791,0.7843309042057811,0.7786179212924313
cat,Benzodiazepines,small,53466,22914,0.7604441887128238,0.758999135836271
cat,Other_amphetamines,small,27310,11705,0.8042708165653883,0.8015912690028726
cat,PCP,small,12668,5430,0.7777881549476651,0.7827977160625601
cat,Non_rx_methadone,small,6906,2961,0.7864557742362666,0.7935453673683729
cat,Other_hallucinogens,small,5667,2429,0.7719632624546756,0.7952661060860612
cat,Other_sedatives_hypnotics,small,5386,2309,0.7253158125112871,0.7518824782596718
cat,Other_stimulants,small,5336,2288,0.7916380625476734,0.809234363081617
cat,Barbiturates,small,3630,1557,0.839365230026483,0.8024473270992993
cat,Inhalants,small,2249,965,0.7588401253918495,0.778217644424541
cat,OTC,small,1824,783,0.7289578891257995,0.7807902452025587
cat,Other_tranquilizers,small,435,187,0.7125659252465031,0.8148360467782618
