substance,train_n,test_n,single,pooled,delta,ci_lo,ci_hi,verdict
Benzodiazepines,53466,22914,0.7604441887128238,0.758999135836271,-0.0014450528765528325,-0.004602976972002714,0.0016873602272979473,ns
Other_amphetamines,27310,11705,0.8042708165653883,0.8015912690028726,-0.0026795475625157605,-0.006521546634820111,0.0012730114690547895,ns
PCP,12668,5430,0.7777881549476651,0.7827977160625601,0.005009561114895034,-0.002294369984214703,0.012029901574092124,ns
Non_rx_methadone,6906,2961,0.7864557742362666,0.7935453673683729,0.007089593132106331,-0.003453724366930927,0.017576595219823157,ns
Other_hallucinogens,5667,2429,0.7719632624546756,0.7952661060860612,0.023302843631385572,0.010049744981284515,0.03718933738032481,pooled better
Other_sedatives_hypnotics,5386,2309,0.7253158125112871,0.7518824782596718,0.026566665748384732,0.010512606926740711,0.043015969223154926,pooled better
Other_stimulants,5336,2288,0.7916380625476734,0.809234363081617,0.017596300533943565,0.00221666316495332,0.03215659275020064,pooled better
Barbiturates,3630,1557,0.839365230026483,0.8024473270992993,-0.036917902927183666,-0.06501615641008238,-0.010958230628192272,single better
Inhalants,2249,965,0.7588401253918495,0.778217644424541,0.01937751903269147,-0.008537799565097603,0.04690582166816722,ns
OTC,1824,783,0.7289578891257995,0.7807902452025587,0.05183235607675918,0.021179195923115172,0.08265721055695313,pooled better
Other_tranquilizers,435,187,0.7125659252465031,0.8148360467782618,0.10227012153175874,0.0399879725085911,0.16128482351078205,pooled better
