substance,n,dropout,auc,ci_lo,ci_hi
Other_sedatives,622,0.476,0.8058,0.7683,0.8347
Other_amphetamines,39015,0.421,0.795,0.7913,0.7991
Other_stimulants,7624,0.402,0.7932,0.7842,0.803
Other_tranquilizers,5187,0.17,0.7922,0.7781,0.8093
Non_rx_methadone,9867,0.485,0.7903,0.7823,0.799
Other_hallucinogens,8096,0.398,0.7896,0.7799,0.7996
Other_sedatives_hypnotics,3214,0.399,0.7732,0.7567,0.7902
Inhalants,2607,0.427,0.7711,0.7523,0.7891
PCP,18098,0.401,0.7687,0.7618,0.7747
OTC,37578,0.531,0.7505,0.7457,0.755
Barbiturates,7695,0.43,0.7484,0.7391,0.7594
Benzodiazepines,76380,0.334,0.7451,0.7417,0.7487
