threshold,nb_model,nb_treat_all,nb_treat_none,advantage_vs_best_default
0.05,0.3684,0.3657,0.0,0.0026
0.1,0.3376,0.3305,0.0,0.0071
0.15,0.3056,0.2911,0.0,0.0145
0.2,0.2741,0.2468,0.0,0.0273
0.25,0.2441,0.1966,0.0,0.0475
0.3,0.2164,0.1392,0.0,0.0772
0.35,0.191,0.073,0.0,0.118
0.4,0.1678,-0.0043,0.0,0.1678
0.45,0.147,-0.0956,0.0,0.147
0.5,0.1275,-0.2051,0.0,0.1275
0.55,0.1092,-0.339,0.0,0.1092
0.6,0.0922,-0.5064,0.0,0.0922
0.65,0.0758,-0.7216,0.0,0.0758
0.7,0.0597,-1.0085,0.0,0.0597
0.75,0.044,-1.4102,0.0,0.044
0.8,0.0299,-2.0128,0.0,0.0299
