substance,group,train_n,auto,off,on,shift_off,shift_on
Alcohol,BIG6,1743828,0.7898642821085737,0.7896845997012424,0.7898642821085737,-0.00017968240733134966,0.0
Heroin,BIG6,1092259,0.7946723226298946,0.7944171674391234,0.7946723226298946,-0.00025515519077123905,0.0
Cannabis,BIG6,588619,0.7635669730305809,0.7634108373868821,0.7635669730305809,-0.00015613564369876265,0.0
Methamphetamine,BIG6,543342,0.7839804624560176,0.7843365655870979,0.7839804624560176,0.00035610313108025426,0.0
Other_opioids,BIG6,319643,0.7959887001794022,0.7966087438839853,0.7959887001794022,0.0006200437045831286,0.0
Cocaine,BIG6,263176,0.7808998322984982,0.780485522303805,0.7808998322984982,-0.0004143099946932738,0.0
Benzodiazepines,small,53466,0.7547511080119099,0.757323081727643,0.7547511080119099,0.0025719737157330336,0.0
Other_amphetamines,small,27310,0.799380550189813,0.8007730531697165,0.799380550189813,0.0013925029799034538,0.0
PCP,small,12668,0.780827889201757,0.7780003574829137,0.780827889201757,-0.0028275317188433124,0.0
Non_rx_methadone,small,6906,0.7789451573131193,0.7789451573131193,0.7841675418968903,0.0,0.005222384583771
Other_hallucinogens,small,5667,0.7684617549397277,0.7684617549397277,0.768884948043059,0.0,0.00042319310333127635
Other_sedatives_hypnotics,small,5386,0.7240363394827624,0.7240363394827624,0.721328555205588,0.0,-0.00270778427717433
Other_stimulants,small,5336,0.7801654271548437,0.7801654271548437,0.7785516781083142,0.0,-0.0016137490465295556
Barbiturates,small,3630,0.8543292554313435,0.8543292554313435,0.8691204387260071,0.0,0.014791183294663557
Inhalants,small,2249,0.7329690998656517,0.7329690998656517,0.7360725481415136,0.0,0.003103448275861842
OTC,small,1824,0.7216950959488273,0.7216950959488273,0.7071428571428572,0.0,-0.014552238805970119
Other_tranquilizers,small,435,0.7239165329052969,0.7239165329052969,0.739910570969961,0.0,0.01599403806466415
