state,n,auc,calib_gap
1,12534,0.753,-0.0118
2,8571,0.7149,0.0263
4,55727,0.9465,-0.0019
5,14841,0.711,0.0169
6,203030,0.7839,-0.0031
8,96820,0.9013,0.0064
9,72182,0.6895,-0.0031
10,6253,0.6072,0.0051
11,4094,0.7145,0.0996
12,40919,0.6831,0.0038
13,31455,0.9211,-0.0194
15,7079,0.6928,0.0201
16,7566,0.7391,0.0334
17,32741,0.6771,0.0168
18,27391,0.6953,-0.0419
19,38627,0.6833,0.0046
20,7913,0.7253,-0.0194
21,14020,0.6357,0.0759
22,12580,0.7748,-0.0788
23,9689,0.7283,0.0633
24,14389,0.7897,-0.0366
25,110528,0.6891,0.0053
26,75739,0.7144,-0.0076
27,77059,0.7162,0.0099
28,6708,0.7312,-0.0161
29,47493,0.7887,-0.0133
30,4308,0.7433,-0.0047
31,14047,0.6978,0.0283
32,6022,0.6766,-0.033
33,3464,0.7224,0.0875
34,123196,0.7488,0.0075
36,400966,0.7765,-0.0026
37,59466,0.6616,0.0109
39,26957,0.7362,-0.0102
40,19292,0.6889,-0.0136
42,30277,0.7346,0.0118
44,12881,0.7806,0.0102
45,41175,0.7639,-0.0091
46,20055,0.8278,0.0149
47,23464,0.7019,-0.0069
48,41813,0.671,0.0126
49,18652,0.64,-0.0067
50,11487,0.7661,-0.0339
51,12744,0.6343,0.0274
53,22673,0.7034,-0.0113
55,8973,0.7214,-0.0052
56,6796,0.6323,0.0076
72,3481,0.9472,-0.0043
