dim,group,n,dropout,auc,ci_lo,ci_hi,calib_gap
RACE,Alaska Native,4755,0.287,0.7391,0.7207,0.7569,0.0176
RACE,Am Indian,47948,0.316,0.8497,0.8466,0.8531,-0.0028
RACE,Black,347861,0.425,0.7964,0.7931,0.7994,-0.0005
RACE,White,1266440,0.39,0.7844,0.7801,0.7856,0.0013
RACE,Asian,13751,0.38,0.7836,0.7752,0.7909,0.0212
RACE,Other single,175312,0.448,0.7845,0.7834,0.7883,-0.005
RACE,Two+ races,43110,0.46,0.7601,0.7561,0.7645,-0.0005
RACE,NHOPI,9411,0.399,0.7387,0.7286,0.7485,-0.0002
GENDER,Male,1309824,0.378,0.7886,0.7844,0.7901,0.0001
GENDER,Female,639782,0.437,0.7924,0.7899,0.7953,0.0011
AGE,12-14,9896,0.433,0.7278,0.7189,0.7373,0.0132
AGE,15-17,52765,0.435,0.7383,0.7342,0.7427,-0.0025
AGE,18-20,60831,0.463,0.7648,0.7613,0.7684,-0.0034
AGE,21-24,169812,0.434,0.77,0.7664,0.7722,0.0007
AGE,25-29,323564,0.427,0.7736,0.7683,0.7739,0.0004
AGE,30-34,320269,0.417,0.782,0.778,0.7838,-0.001
AGE,35-39,261454,0.406,0.7869,0.7842,0.7893,0.0001
AGE,40-44,192813,0.392,0.7939,0.7893,0.7959,0.0014
AGE,45-49,177734,0.372,0.801,0.799,0.8042,-0.0
AGE,50-54,170665,0.346,0.8102,0.8079,0.8135,0.0026
AGE,55-64,184074,0.323,0.822,0.8202,0.8254,0.001
AGE,65+,26496,0.296,0.8372,0.8325,0.8433,0.0067
