Stratification,Category,n,dropout_rate,AUROC,calibration_error
AGE,12-14,1265,0.3683794466403162,0.7068116261206336,0.044136705251757
AGE,15-17,6822,0.41102316036352976,0.7265097716481256,0.010637693825575278
AGE,18-20,11705,0.44015378043571124,0.7720778194852673,0.013988874986450017
AGE,21-24,22654,0.4341838085989229,0.7722404930325271,0.016334073110709835
AGE,25-29,40422,0.4246697343031023,0.7733587001745557,0.012779588081617943
AGE,30-34,41476,0.41293760246889766,0.7767666952925062,0.005835660114578367
AGE,35-39,32168,0.40095747326535686,0.7715261124709841,0.0038158731649750033
AGE,40-44,19862,0.4002618064646058,0.7866742167931708,0.0015221050454181095
AGE,45-49,13452,0.3924323520666072,0.7869911547887745,0.000734254008391888
AGE,50-54,10127,0.379579342352128,0.7892998640435525,0.0018635525304873668
AGE,55-64,10969,0.34652201659221443,0.794927325427754,0.005899696738691673
AGE,65+,5061,0.16518474609760916,0.7906079952436228,0.1396813892812838
RACE,Alaska Native,260,0.3576923076923077,0.6769042560041209,0.03705992488199766
RACE,Am Indian,2974,0.4512441156691325,0.7464212398819439,0.01677717741025464
RACE,Black,32799,0.4412024756852343,0.7980774214935991,0.005694501161534138
RACE,White,153948,0.39173617065502636,0.774137930883966,2.4807962897388514e-05
RACE,Asian,1596,0.39724310776942356,0.7612549761603389,0.0075269036161644265
RACE,Other single,15426,0.4330351354855439,0.7753648545579777,0.025610501781269612
RACE,Two+ races,3479,0.4610520264443806,0.748168744804655,0.019206877902535724
RACE,NHOPI,874,0.4267734553775744,0.7136691763925233,0.03681999008041187
GENDER,Male,128799,0.39156359909626626,0.7750408796929076,0.006621335483941948
GENDER,Female,87077,0.4211215361117172,0.7803913793750504,0.005583497986715424
