family,substance,regime,n_test,auc,ci_lo,ci_hi
GBT,Alcohol,pooled,747356,0.7851,0.7792,0.7849
GBT,Cannabis,pooled,252266,0.7532,0.7518,0.7579
GBT,Cocaine,pooled,112791,0.7709,0.7688,0.7743
GBT,Heroin,pooled,468111,0.7887,0.7834,0.789
GBT,Methamphetamine,pooled,232862,0.7743,0.7713,0.7766
GBT,Other_opioids,pooled,136990,0.7843,0.7816,0.787
GBT,Alcohol,single,747356,0.7892,0.7843,0.7898
GBT,Cannabis,single,252266,0.7632,0.7618,0.7676
GBT,Cocaine,single,112791,0.7801,0.7781,0.7834
GBT,Heroin,single,468111,0.7943,0.7896,0.7949
GBT,Methamphetamine,single,232862,0.7839,0.7809,0.7862
GBT,Other_opioids,single,136990,0.7964,0.7937,0.7993
Logistic,Alcohol,pooled,747356,0.7509,0.7455,0.7518
Logistic,Cannabis,pooled,252266,0.7165,0.714,0.7202
Logistic,Cocaine,pooled,112791,0.7405,0.7378,0.7441
Logistic,Heroin,pooled,468111,0.7567,0.7514,0.7572
Logistic,Methamphetamine,pooled,232862,0.7317,0.7281,0.7339
Logistic,Other_opioids,pooled,136990,0.7537,0.7507,0.7566
Logistic,Alcohol,single,747356,0.7565,0.7513,0.7572
Logistic,Cannabis,single,252266,0.7322,0.7304,0.736
Logistic,Cocaine,single,112791,0.7509,0.7483,0.754
Logistic,Heroin,single,468111,0.7667,0.7618,0.7675
Logistic,Methamphetamine,single,232862,0.7486,0.7448,0.7502
Logistic,Other_opioids,single,136990,0.7659,0.7633,0.7688
