cell,substance,regime,n_gbt_train,n_tabpfn_train,n_test,gbt_auc,gbt_secs,tabpfn_auc,n_tabpfn_ctx,pred_s,delta,d_lo,d_hi,sig,delta_matched
Other_hallucinogens__coverage,Other_hallucinogens,coverage,1000000,100000,2000,0.7769,345.2,0.7682,100000,37.5,-0.0087,-0.0161,-0.001,yes,0.0198999999999999
Alcohol__single,Alcohol,single,1000000,100000,2000,0.7915,33.0,0.7866,100000,37.4,-0.0049,-0.0129,0.0038,no,0.0265999999999999
Inhalants__coverage,Inhalants,coverage,1000000,100000,2000,0.7695,336.6,0.7659,100000,37.2,-0.0036,-0.0124,0.0048,no,0.0149999999999999
Other_stimulants__coverage,Other_stimulants,coverage,1000000,100000,2000,0.8038,340.0,0.8005,100000,37.5,-0.0033,-0.0102,0.0033,no,0.0197999999999999
Cannabis__pooled,Cannabis,pooled,1000000,100000,2000,0.7487,38.8,0.7462,100000,37.4,-0.0025,-0.0096,0.0048,no,0.0181999999999999
Cannabis__single,Cannabis,single,588619,100000,2000,0.7532,39.8,0.7509,100000,37.6,-0.0023,-0.0089,0.0038,no,0.0211
Other_amphetamines__coverage,Other_amphetamines,coverage,1000000,100000,2000,0.795,346.5,0.7929,100000,37.4,-0.0021,-0.0097,0.0053,no,0.0292999999999999
Methamphetamine__single,Methamphetamine,single,543342,100000,2000,0.7809,56.5,0.779,100000,37.6,-0.0019,-0.0076,0.0035,no,0.0198
Heroin__single,Heroin,single,1000000,100000,2000,0.7948,60.1,0.793,100000,37.6,-0.0018,-0.0078,0.0051,no,0.0175999999999999
Heroin__pooled,Heroin,pooled,1000000,100000,2000,0.7914,84.4,0.7912,100000,37.4,-0.0002,-0.0068,0.0053,no,0.01
Cocaine__pooled,Cocaine,pooled,1000000,100000,2000,0.7704,321.1,0.7712,100000,37.1,0.0008,-0.0058,0.0071,no,0.0203999999999999
Alcohol__pooled,Alcohol,pooled,1000000,100000,2000,0.7867,42.8,0.7884,100000,37.0,0.0017,-0.0057,0.0086,no,0.0183999999999999
OTC__coverage,OTC,coverage,1000000,100000,2000,0.7579,132.1,0.7597,100000,37.5,0.0018,-0.006,0.0101,no,0.0129
Methamphetamine__pooled,Methamphetamine,pooled,1000000,100000,2000,0.7711,49.8,0.7732,100000,37.4,0.0021,-0.0043,0.0087,no,0.017
Barbiturates__coverage,Barbiturates,coverage,1000000,100000,2000,0.7507,30.7,0.7534,100000,37.2,0.0027,-0.0056,0.0107,no,0.0084
Other_opioids__single,Other_opioids,single,319643,100000,2000,0.7989,32.7,0.8043,100000,37.5,0.0054,-0.0016,0.0118,no,0.0233999999999999
Cocaine__single,Cocaine,single,263176,100000,2000,0.7763,80.9,0.7838,100000,37.6,0.0075,0.0005,0.0135,yes,0.0107
Other_opioids__pooled,Other_opioids,pooled,1000000,100000,2000,0.7778,87.0,0.7854,100000,37.5,0.0076,0.001,0.0141,yes,0.0201999999999999
