substance,regime,family,n_train,n_test,auc,ci_lo,ci_hi,secs
Alcohol,single,TabPFN,10000,2000,0.7685,0.7494,0.7902,187.5
Alcohol,single,GBT,10000,2000,0.7419,0.7201,0.7639,52.3
Alcohol,pooled,TabPFN,10000,2000,0.765,0.745,0.7852,197.3
Alcohol,pooled,GBT,10000,2000,0.7466,0.7228,0.7699,20.1
Heroin,single,TabPFN,10000,2000,0.7864,0.7661,0.8049,187.5
Heroin,single,GBT,10000,2000,0.7688,0.7484,0.7878,55.3
Heroin,pooled,TabPFN,10000,2000,0.7838,0.7633,0.8018,169.0
Heroin,pooled,GBT,10000,2000,0.7738,0.7525,0.793,17.2
Cannabis,single,TabPFN,10000,2000,0.7382,0.7173,0.7603,192.6
Cannabis,single,GBT,10000,2000,0.7171,0.6981,0.7372,78.1
Cannabis,pooled,TabPFN,10000,2000,0.7274,0.7055,0.75,186.3
Cannabis,pooled,GBT,10000,2000,0.7092,0.6857,0.7326,64.8
Methamphetamine,single,TabPFN,10000,2000,0.7418,0.7236,0.7618,203.5
Methamphetamine,single,GBT,10000,2000,0.722,0.7012,0.7435,174.8
Methamphetamine,pooled,TabPFN,10000,2000,0.7296,0.7101,0.7508,205.5
Methamphetamine,pooled,GBT,10000,2000,0.7126,0.6926,0.7349,166.2
Other_opioids,single,TabPFN,10000,2000,0.7898,0.7701,0.8101,207.3
Other_opioids,single,GBT,10000,2000,0.7664,0.744,0.7846,287.6
Other_opioids,pooled,TabPFN,10000,2000,0.7763,0.7572,0.7956,212.4
Other_opioids,pooled,GBT,10000,2000,0.7561,0.7371,0.7743,288.1
Cocaine,single,TabPFN,10000,2000,0.7621,0.7441,0.7822,365.1
Cocaine,single,GBT,10000,2000,0.7514,0.7336,0.7719,504.4
Cocaine,pooled,TabPFN,10000,2000,0.7509,0.7297,0.773,340.4
Cocaine,pooled,GBT,10000,2000,0.7305,0.7102,0.7503,11.5
COV:Other_stimulants,coverage,TabPFN,10000,2000,0.7585,0.7382,0.7777,148.3
COV:Other_stimulants,coverage,GBT,10000,2000,0.7387,0.7177,0.7587,0.0
COV:Barbiturates,coverage,TabPFN,10000,2000,0.7346,0.7127,0.7574,149.1
COV:Barbiturates,coverage,GBT,10000,2000,0.7262,0.7018,0.7487,0.0
COV:OTC,coverage,TabPFN,10000,2000,0.7157,0.6937,0.7382,154.3
COV:OTC,coverage,GBT,10000,2000,0.7028,0.681,0.724,0.1
COV:Inhalants,coverage,TabPFN,10000,2000,0.7474,0.7238,0.7695,152.0
COV:Inhalants,coverage,GBT,10000,2000,0.7324,0.7119,0.7542,0.1
COV:Other_hallucinogens,coverage,TabPFN,10000,2000,0.7545,0.732,0.7761,157.0
COV:Other_hallucinogens,coverage,GBT,10000,2000,0.7346,0.7116,0.7569,0.8
COV:Other_amphetamines,coverage,TabPFN,10000,2000,0.7674,0.7458,0.7869,159.9
COV:Other_amphetamines,coverage,GBT,10000,2000,0.7381,0.7145,0.7583,0.2
