subname,n,dropout,is_big6,group
Alcohol,2491184,0.295,True,BIG6
Heroin,1560370,0.474,True,BIG6
Cannabis,840885,0.456,True,BIG6
Methamphetamine,776204,0.444,True,BIG6
Other_opioids,456633,0.473,True,BIG6
Cocaine,375967,0.442,True,BIG6
Benzodiazepines,76380,0.334,False,small
Other_amphetamines,39015,0.421,False,small
PCP,18098,0.401,False,small
Non_rx_methadone,9867,0.485,False,small
Other_hallucinogens,8096,0.398,False,small
Other_sedatives_hypnotics,7695,0.43,False,small
Other_stimulants,7624,0.402,False,small
Barbiturates,5187,0.17,False,small
Inhalants,3214,0.399,False,small
OTC,2607,0.427,False,small
Other_tranquilizers,622,0.476,False,small
