manuscript_claim,value,producing_script,training_assembly,data_file
Analytic sample N,"6,717,226",src/01_build_analysis_table.py,n/a (cohort construction),data/teds_d_analysis_2015_2022.parquet
Overall dropout rate,0.398,src/01_build_analysis_table.py,n/a (cohort construction),data/teds_d_analysis_2015_2022.parquet
Dropout of resolved episodes,39.8%,src/01_build_analysis_table.py,n/a (cohort construction),data/teds_d_analysis_2015_2022.parquet
Big-6 pool N,"6,501,243",src/jsh_fit.py,JSH (canonical),data/teds_d_analysis_2015_2022.parquet
Unseen-class N,"215,983",src/jsh_fit.py,JSH (canonical),data/teds_d_analysis_2015_2022.parquet
JSH train side,"4,550,870",src/jsh_fit.py,JSH (canonical),data/teds_d_analysis_2015_2022.parquet
JSH big-6 holdout,"1,950,373",src/jsh_fit.py,JSH (canonical),data/teds_d_analysis_2015_2022.parquet
JSH training subsample,"1,000,000 (999,999 actual)",src/jsh_fit.py,JSH (canonical),data/teds_d_analysis_2015_2022.parquet
Table II: all 51 cohort groups (153 numeric cells),see table,derived from the analysis parquet (no script emits the LaTeX; table body hand-typed and every cell re-verified),n/a (cohort construction),"data/p1_cohort_table.csv, data/teds_d_class_sizes_2015_2022.csv"
Small classes share of cohort,3.2%,src/01_build_analysis_table.py,n/a,data/teds_d_class_sizes_2015_2022.csv
Cocaine / benzodiazepines size ratio,4.9x,src/01_build_analysis_table.py,n/a,data/teds_d_class_sizes_2015_2022.csv
Substance base-rate range,0.170-0.531,src/01_build_analysis_table.py,n/a,data/teds_d_class_sizes_2015_2022.csv
Unseen mean AUROC (headline),0.777,src/04_coverage_unseen.py,JSH (canonical),data/p1_coverage_ci.csv
Unseen AUROC range,0.745-0.806,src/04_coverage_unseen.py,JSH (canonical),data/p1_coverage_ci.csv
Benzodiazepines / barbiturates / OTC AUROC,0.745 / 0.748 / 0.751,src/04_coverage_unseen.py,JSH (canonical),data/p1_coverage_ci.csv
Fig. 1 big-6 reference line,0.777 (0.776923),src/09_paper_figures.py,JSH (canonical),data/p1_phase1_pooled_jsh.csv
Six classes above / six below reference,6 / 6,src/04_coverage_unseen.py,JSH (canonical),data/p1_coverage_ci.csv + data/p1_phase1_pooled_jsh.csv
Cohort-level unseen AUROC,0.778,src/07b_unseen_deployability.py,JSH (canonical),data/p1_unseen_summary.csv
Cohort-level unseen Brier,0.186,src/07b_unseen_deployability.py,JSH (canonical),data/p1_unseen_summary.csv
Unseen base rate,0.404,src/07b_unseen_deployability.py,JSH (canonical),data/p1_unseen_summary.csv
Big-6 holdout AUROC,0.791,src/03_calibration_dca.py,JSH (canonical),data/fairness_preds.parquet
Big-6 holdout Brier,0.179,src/03_calibration_dca.py,JSH (canonical),data/fairness_preds.parquet
Big-6 holdout base rate,0.397,src/03_calibration_dca.py,JSH (canonical),data/fairness_preds.parquet
Mean absolute decile calibration gap,0.015,src/07b_unseen_deployability.py,JSH (canonical),data/p1_calibration_unseen_deciles.csv
Max decile calibration gap,0.046,src/07b_unseen_deployability.py,JSH (canonical),data/p1_calibration_unseen_deciles.csv
Net benefit at threshold 0.20,0.275,src/07b_unseen_deployability.py,JSH (canonical),data/p1_dca_realdata_unseen.csv
Net benefit at threshold 0.50,0.126,src/07b_unseen_deployability.py,JSH (canonical),data/p1_dca_realdata_unseen.csv
Net benefit positive through 0.80,0.020 at 0.80,src/07b_unseen_deployability.py,JSH (canonical),data/p1_dca_realdata_unseen.csv
Treat-all crosses zero,0.41,src/07b_unseen_deployability.py,JSH (canonical),data/p1_dca_realdata_unseen.csv
GBT single-substance mean AUROC,0.785,src/02_baselines_single_pooled.py,per-substance 70/30 (pooling-cost arm),data/p1_phase1_single_pooled.csv
GBT pooled mean AUROC (pooling cost),0.776,src/02_baselines_single_pooled.py,union of six per-substance 70% halves,data/p1_phase1_single_pooled.csv
Pooled minus single,-0.008,src/02_baselines_single_pooled.py,pooling-cost arm,data/p1_phase1_single_pooled.csv
Per-substance pooling loss range,0.004 (Alcohol) - 0.012 (Other opioids),src/02_baselines_single_pooled.py,pooling-cost arm,data/p1_phase1_single_pooled.csv
Logistic single / pooled mean,0.753 / 0.742,src/02_baselines_single_pooled.py,pooling-cost arm,data/p1_phase1_single_pooled.csv
GBT over logistic,0.031 - 0.034,src/02_baselines_single_pooled.py,pooling-cost arm,data/p1_phase1_single_pooled.csv
Balanced-vs-proportional pooling max shift,0.004 (mean +0.001),src/02c_pooled_cohorts.py,balanced-cohort sensitivity,data/p1_pooled_cohorts.csv
Temporal coverage mean AUROC (2022),0.785,src/05_coverage_temporal.py,year-restricted JSH (YEAR<2022),data/p1_coverage_temporal2022.csv
Trained-substance AUROC 2019/2020/2022,0.786 / 0.769 / 0.768,src/06_covid_temporal.py,year-restricted JSH (YEAR<=2018),data/p1_covid_temporal.csv
Trained-substance onset step / later decay,0.017 / 0.001,src/06_covid_temporal.py,year-restricted JSH (YEAR<=2018),data/p1_covid_temporal.csv
Unseen AUROC 2019/2020/2022,0.789 / 0.738 / 0.708,src/07b_unseen_deployability.py,"EXCEPTION: within-unseen refit, 2015-2018, n=125,912, seed 42",data/p1_covid_temporal_unseen.csv
Unseen onset step / later decay,0.051 / 0.030,src/07b_unseen_deployability.py,EXCEPTION: within-unseen refit,data/p1_covid_temporal_unseen.csv
Unseen test n by era,"35,424 / 26,861 / 27,786",src/07b_unseen_deployability.py,EXCEPTION: within-unseen refit,data/p1_covid_temporal_unseen.csv
